"","YEAR","Lb0","Lb1","Ab0","Ab1","N"
"1",1970,-21.8027654551498,0.801625966240432,-3.54506578297176,1.02592123717423,NA
"2",1971,-21.9939931910713,0.812798255458878,-4.77468488580442,1.49131713662364,NA
"3",1972,-21.4077790492171,0.792508924930227,-5.14904357223091,1.60375796948559,NA
"4",1973,-27.2617893449141,1.07242822316624,-8.27150744259418,2.46514090493319,NA
"5",1974,-24.6436043901799,0.951930417267912,-12.0721387634494,3.41381241735546,NA
"6",1975,-32.4002431815263,1.20958889175922,-11.3369984598445,3.06532882189465,NA
"7",1976,-26.7306436366995,1.00617213370437,-8.97278758589078,2.55628368586987,NA
"8",1977,-30.4852273084176,1.14695796991621,-10.5484618251356,2.83487502522687,NA
"9",1978,-26.4633213517077,0.997773680925757,-9.48201152303063,2.66575811542825,NA
"10",1979,-25.892098648933,1.00241002894908,-11.4931713772955,3.52329074818028,NA
"11",1980,-26.4460429805837,1.06290418021015,-11.617824321855,3.45642533448693,NA
"12",1981,-26.0442283360985,1.01676167213026,-9.24170198712866,2.62864044659082,NA
"13",1982,-23.3144238881233,0.919337868521716,-7.62841049722401,2.42894803823681,NA
"14",1983,-24.6399296660102,0.944621234726974,-8.43329950384359,2.54932497369887,NA
"15",1984,-25.4595744163968,0.979821380730489,-8.37629279664012,2.54109317229888,NA
"16",1985,-22.9543354603087,0.911211379952568,-8.93180606379071,2.97291047429485,NA
"17",1986,-24.7435055847439,0.968081002168523,-9.22816425716081,2.93655613620899,NA
"18",1987,-31.4169022545064,1.2337055249948,-10.6455581280363,3.17323784777941,NA
"19",1988,-29.0196019753074,1.11325353814827,-9.96499948714653,2.66152993473428,NA
"20",1989,-31.3336977007275,1.18408278434302,-8.78276081869401,2.43519592921068,NA
"21",1990,-28.4947039782722,1.0749134372878,-9.40005454038494,2.55044249179013,NA
"22",1991,-22.6011740115077,0.90070157043919,-9.03419804182024,2.73033736029151,NA
"23",1992,-22.5251790907821,0.904155104214212,-9.26882901922184,2.63489453888937,NA
"24",1993,-32.8567807851594,1.31607699708714,-15.1032063600644,4.53138020102527,NA
"25",1994,-25.9752214534976,1.03142045496213,-9.50924612802117,2.76707333617666,NA
"26",1995,-19.4568486617792,0.823211329998149,-9.04688056068064,2.99537509938116,NA
"27",1996,-31.8037242210598,1.34492717654497,-12.5900054441892,4.03975721636847,NA
"28",1997,-31.911277189023,1.31241778293936,-14.1880593686644,4.3163679771311,NA
"29",1998,-34.0528778919118,1.43254459579332,-13.7380713055564,4.17898331042519,NA
"30",1999,-29.312796567826,1.20221552503298,-11.2680025645561,3.45964425522939,NA
"31",2000,-30.8449261463939,1.28746468768025,-9.42754438490396,3.15245411395785,NA
"32",2001,-25.6804862347703,1.09967616592345,-8.74080496197851,3.0913587249025,NA
"33",2002,-27.9135178310686,1.17100157554001,-11.0734805643699,3.78169746367872,NA
"34",2003,-40.0686910157883,1.73331150847521,-14.8746959568779,5.22937615498495,NA
"35",2004,-28.9926177431545,1.27809443709098,-13.9051123362116,5.00823577287472,NA
"36",2005,-37.5986060050788,1.63447457754325,-13.6544841603801,4.48809587263103,NA
"37",2006,-27.3100075735323,1.14265939487498,-12.3762664491583,4.05773151092541,NA
"38",2007,-35.022591774241,1.48697712409143,-14.6559767521569,5.35255419093959,NA
"39",2008,-25.3280794657013,1.09370173479014,-11.7051161140924,4.06799194975029,NA
"40",2009,-27.646877150146,1.19462293874796,-10.9069400434129,3.61541262960117,NA
"41",2010,-30.2679612454397,1.32611178938557,-11.6835550272546,3.79001233710087,NA
"42",2011,-31.9965898259042,1.40364813694479,-11.1232677648044,3.58583914409042,NA
"43",2012,-30.4475695706346,1.32599926616919,-7.49808639267785,2.36686843606857,NA
"44",2013,-35.9879031986424,1.55475557538421,-10.7488692720715,3.64381111533099,NA
"45",2014,-36.4788975860258,1.57363216640622,-14.8559795953084,5.118025867331,NA
"46",2015,-37.5061759901965,1.60713691250351,-11.8656056682253,3.97965273371523,NA
"47",2016,-28.0763498597382,1.22907641142077,-10.2849313493106,3.49675115733004,NA
"48",2017,-34.8097652376549,1.52700490214732,-10.3677909615217,3.46776126811896,NA
"49",2018,-39.0004822375552,1.7100829933916,-11.711271158542,4.27084298066265,NA
